sentence,label
آپ کا وقت دینے کا شکریہ۔,formal
ٹائم دینے کا شکریہ۔,informal
آپ کا تعاون قابلِ تعریف ہے۔,formal
تم نے بہت سپورٹ کیا۔,informal
امید ہے آپ کا دن اچھا گزرے گا۔,formal
آج کا دن اچھا جائے۔,informal
براہ کرم تاخیر نہ کریں۔,formal
دیر مت کرنا۔,informal
کیا میں آپ سے ایک سوال پوچھ سکتا ہوں؟,formal
ایک بات پوچھوں؟,informal
آپ کی کامیابی پر مبارکباد۔,formal
ویل ڈن یار!,informal
براہ کرم کل دفتر وقت پر تشریف لائیں۔,formal
کل آنا ٹائم پہ۔,informal
آپ کی محنت رنگ لائے گی۔,formal
تمہاری محنت کامیاب ہوگی۔,informal
آپ سے درخواست ہے کہ احتیاط کریں۔,formal
دھیان رکھنا۔,informal
آپ کی بات قابلِ غور ہے۔,formal
بات ٹھیک کہی تم نے۔,informal
آپ کا اندازِ گفتگو بہت اچھا ہے۔,formal
تم اچھی بات کرتے ہو۔,informal
آپ کی رہنمائی درکار ہے۔,formal
تھوڑا گائیڈ کر دو نا۔,informal
آپ کا موقف درست ہے۔,formal
ہاں تم ٹھیک ہو۔,informal
آپ کی معلومات ہمارے لیے قیمتی ہیں۔,formal
اچھی بات بتائی تم نے۔,informal
آپ سے تعاون کی امید ہے۔,formal
تھوڑا ساتھ دو نا۔,informal
آپ کے جواب کا انتظار رہے گا۔,formal
ریپلائے کا انتظار ہے۔,informal
آپ کی رائے کا خیر مقدم ہے۔,formal
تمہاری رائے اچھی لگی۔,informal
آپ کے صبر کا شکریہ۔,formal
تھینکس انتظار کرنے کا۔,informal
براہ کرم اپنی نشست پر تشریف لے جائیں۔,formal
اپنی سیٹ پہ بیٹھ جاؤ۔,informal
آپ کی درخواست پر غور کیا جا رہا ہے۔,formal
تمہاری بات سوچ رہا ہوں۔,informal
آپ کی محفل میں آنا باعثِ شرف ہے۔,formal
تمہاری پارٹی اچھی تھی۔,informal
آپ کے مشورے سے ہمیں فائدہ ہوا۔,formal
تمہاری بات کام آئی۔,informal
آپ کی دوستی ہمارے لیے باعثِ فخر ہے۔,formal
یار تم بہترین ہو۔,informal
آپ کی طبیعت اب کیسی ہے؟,formal
طبیعت کیسی ہے اب؟,informal
آپ کی محنت کا صلہ ضرور ملے گا۔,formal
تمہاری محنت رنگ لائے گی۔,informal
آپ کا سفر بخیر ہو۔,formal
سیف ٹریولز یار۔,informal
آپ کی کامیابی پر دل سے مبارکباد۔,formal
مبارک ہو بھائی۔,informal
آپ کی حاضری کے لیے شکریہ۔,formal
آنے کا شکریہ۔,informal
آپ کے والد صاحب سے میری سلام عرض کر دیجیے۔,formal
انکل کو سلام کہنا۔,informal
آپ کی عزت ہمارے لیے مقدم ہے۔,formal
ہم تمہیں عزت دیتے ہیں۔,informal
آپ کی بات سے اتفاق ہے۔,formal
میں تم سے متفق ہوں۔,informal
آپ کے مستقبل کے لیے نیک تمنائیں۔,formal
بہترین خواہشات تمہارے لیے۔,informal
آپ کی خدمت میں سلام پیش ہے۔,formal
سلام یار!,informal
